image_id,roi_grid_label,manual_grid_label,final_grid_label,final_grid_label_source
6926dff2d9ad5d97847a2901,no_grid,,no_grid,predicted_non_grid_rule
6926e00dd9ad5d97847a2903,no_grid,,no_grid,predicted_non_grid_rule
69280f25d9ad5d97847a290d,no_grid,,no_grid,predicted_non_grid_rule
6928936dd9ad5d97847a291d,uncertain,,no_grid,predicted_non_grid_rule
69295f14d9ad5d97847a2923,no_grid,,no_grid,predicted_non_grid_rule
692eb509d9ad5d97847a2932,no_grid,,no_grid,predicted_non_grid_rule
692f0f81d9ad5d97847a2936,uncertain,,no_grid,predicted_non_grid_rule
692f5d0bd9ad5d97847a293b,uncertain,,no_grid,predicted_non_grid_rule
692f5d74d9ad5d97847a293d,uncertain,,no_grid,predicted_non_grid_rule
69342ed5d9ad5d97847a2949,grid,,grid,predicted_grid
69343043d9ad5d97847a294d,no_grid,,no_grid,predicted_non_grid_rule
6934308ad9ad5d97847a2950,no_grid,,no_grid,predicted_non_grid_rule
693430d1d9ad5d97847a2953,no_grid,,no_grid,predicted_non_grid_rule
6934314bd9ad5d97847a2956,no_grid,,no_grid,predicted_non_grid_rule
69343615d9ad5d97847a295a,no_grid,,no_grid,predicted_non_grid_rule
69343692d9ad5d97847a295d,no_grid,,no_grid,predicted_non_grid_rule
69343728d9ad5d97847a2960,no_grid,,no_grid,predicted_non_grid_rule
693437b2d9ad5d97847a2963,no_grid,,no_grid,predicted_non_grid_rule
69343822d9ad5d97847a2966,uncertain,,no_grid,predicted_non_grid_rule
693438d0d9ad5d97847a2969,no_grid,,no_grid,predicted_non_grid_rule
6934393cd9ad5d97847a296c,no_grid,,no_grid,predicted_non_grid_rule
69343995d9ad5d97847a296f,no_grid,,no_grid,predicted_non_grid_rule
693439ebd9ad5d97847a2972,uncertain,,no_grid,predicted_non_grid_rule
69343ab2d9ad5d97847a2975,uncertain,,no_grid,predicted_non_grid_rule
69343b12d9ad5d97847a2978,no_grid,,no_grid,predicted_non_grid_rule
69343b6cd9ad5d97847a297b,no_grid,,no_grid,predicted_non_grid_rule
69343cafd9ad5d97847a297e,uncertain,,no_grid,predicted_non_grid_rule
69343d36d9ad5d97847a2981,no_grid,,no_grid,predicted_non_grid_rule
69343daad9ad5d97847a2984,no_grid,,no_grid,predicted_non_grid_rule
69343e0ad9ad5d97847a2987,uncertain,,no_grid,predicted_non_grid_rule
69343e61d9ad5d97847a298a,no_grid,,no_grid,predicted_non_grid_rule
69343ed5d9ad5d97847a298d,uncertain,,no_grid,predicted_non_grid_rule
69343fd4d9ad5d97847a2990,no_grid,,no_grid,predicted_non_grid_rule
6934400bd9ad5d97847a2993,no_grid,,no_grid,predicted_non_grid_rule
69344040d9ad5d97847a2996,no_grid,,no_grid,predicted_non_grid_rule
6934407cd9ad5d97847a2999,no_grid,,no_grid,predicted_non_grid_rule
