image_id,roi_grid_label,manual_grid_label
67aa525d3ac225e471110253,no_grid,no_grid
67dd19f33ac225e4711106a8,no_grid,no_grid
67e64e1b3ac225e47111091c,no_grid,no_grid
67f40cd3fc34192f37316e44,no_grid,no_grid
67f4c547fc34192f37316e73,no_grid,no_grid
67f4c730fc34192f37316e84,no_grid,no_grid
6805f36effdee468dfce02e7,no_grid,no_grid
681b2c97ffdee468dfce05f1,no_grid,no_grid
684150d45893c116dcb58b25,no_grid,no_grid
69344117d9ad5d97847a299f,no_grid,no_grid
6973447ad9ad5d97847a2ad2,no_grid,no_grid
69ac018cd9ad5d97847a2d43,no_grid,no_grid
67d6a60f3ac225e471110511,no_grid,no_grid
681916f9ffdee468dfce0582,no_grid,no_grid
681b2c5effdee468dfce05ed,no_grid,no_grid
681b2c70ffdee468dfce05ef,no_grid,no_grid
6825fd0cffdee468dfce071f,no_grid,no_grid
67dc0bd43ac225e471110643,no_grid,no_grid
67dc102d3ac225e47111066c,no_grid,no_grid
67ed8d7c3ac225e471110b6f,no_grid,no_grid
69b19215d9ad5d97847a2ea3,grid,grid
68149a7bffdee468dfce04e7,grid,grid
69b195a4d9ad5d97847a2eb8,grid,grid
69b31dfad9ad5d97847a3058,grid,grid
69b269ead9ad5d97847a2fb5,grid,grid
69b26a4bd9ad5d97847a2fb7,grid,grid
69b26a8dd9ad5d97847a2fb9,grid,grid
69b19078d9ad5d97847a2e96,grid,grid
69b19507d9ad5d97847a2eb5,grid,grid
69b07951d9ad5d97847a2e1c,grid,grid
69b18eddd9ad5d97847a2e8a,grid,grid
69b12ed6d9ad5d97847a2e3e,grid,grid
69b2703cd9ad5d97847a2fc6,grid,grid
69b196dfd9ad5d97847a2ec2,grid,grid
69b1982cd9ad5d97847a2ed6,grid,grid
69b19817d9ad5d97847a2ed4,grid,grid
67f4d4c2fc34192f37316ef5,grid,grid
67f4f336fc34192f37316f2b,grid,grid
69b07824d9ad5d97847a2e19,grid,grid
69b1c4afd9ad5d97847a2f90,grid,grid
67f7a136fc34192f373171e6,uncertain,no_grid
69b2fb76d9ad5d97847a3031,uncertain,no_grid
67efaefafc34192f37316d39,uncertain,no_grid
67e140b13ac225e471110745,uncertain,no_grid
68231e53ffdee468dfce06ab,uncertain,no_grid
67fe05ecfc34192f37317407,uncertain,no_grid
67fe0914fc34192f3731742c,uncertain,no_grid
67f786f1fc34192f3731714a,uncertain,no_grid
67ea6f873ac225e4711109fd,uncertain,no_grid
6977b8a0d9ad5d97847a2b00,uncertain,no_grid
69885026d9ad5d97847a2b60,uncertain,no_grid
68126474ffdee468dfce04b6,uncertain,no_grid
68126713ffdee468dfce04bf,uncertain,no_grid
67f8ffbcfc34192f37317309,uncertain,no_grid
69885b91d9ad5d97847a2b77,uncertain,no_grid
67f8d75afc34192f373172d3,uncertain,no_grid
67c9467e3ac225e471110395,uncertain,no_grid
67b316ce3ac225e471110271,uncertain,no_grid
67b317df3ac225e471110275,uncertain,no_grid
67d855a43ac225e47111055b,uncertain,no_grid
